sample,transport,transportcolor,relage,climate,climatecolor,author,marker,trans-distance,Samples,N,af,as,bb,cf,crg,cg,dt,de,er,ff,ls,pf,saf,sg,slf,up,vc,low,med,high
SR-I,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,0.96,2,73,NaN,0.178082192,0.410958904,0.410958904,0.602739726,0.342465753,0.02739726,NaN,0.547945205,0.082191781,0.150684932,NaN,0.082191781,0.397260274,0.808219178,0.739726027,0.191780822,NaN,NaN,NaN
SR-II,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,1.83,2,72,NaN,0.208333333,0.527777778,0.583333333,0.541666667,0.333333333,0.069444444,NaN,0.472222222,0.027777778,0.180555556,NaN,0.097222222,0.361111111,0.791666667,0.638888889,0.305555556,NaN,NaN,NaN
SR-III,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,2.61,2,74,NaN,0.162162162,0.554054054,0.418918919,0.472972973,0.216216216,0.040540541,NaN,0.527027027,0.013513514,0.054054054,NaN,0.013513514,0.216216216,0.837837838,0.567567568,0.297297297,NaN,NaN,NaN
SR-IV,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,10.25,2,71,NaN,0.197183099,0.478873239,0.549295775,0.422535211,0.23943662,0.070422535,NaN,0.591549296,0.211267606,0.225352113,NaN,0.211267606,0.169014085,0.718309859,0.563380282,0.605633803,NaN,NaN,NaN
SR-V,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,12.21,2,145,NaN,0.110344828,0.475862069,0.427586207,0.344827586,0.075862069,0.048275862,NaN,0.696551724,0.110344828,0.206896552,NaN,0.110344828,0.124137931,0.744827586,0.413793103,0.448275862,NaN,NaN,NaN
SR-VI,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,13.92,2,79,NaN,0.202531646,0.455696203,0.620253165,0.17721519,0.050632911,0,NaN,0.759493671,0.113924051,0.126582278,NaN,0.075949367,0.139240506,0.759493671,0.493670886,0.683544304,NaN,NaN,NaN
SR-VII,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,15.79,2,77,NaN,0.12987013,0.519480519,0.467532468,0.246753247,0.090909091,0,NaN,0.675324675,0.220779221,0.168831169,NaN,0.051948052,0.064935065,0.779220779,0.272727273,0.402597403,NaN,NaN,NaN
SR-VIII,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,17.13,2,75,NaN,0.186666667,0.52,0.6,0.186666667,0.12,0,NaN,0.826666667,0.24,0.146666667,NaN,0.133333333,0.106666667,0.826666667,0.373333333,0.6,NaN,NaN,NaN
SR-IX,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,21.93,2,90,NaN,0.166666667,0.5,0.644444444,0.077777778,0.111111111,0,NaN,0.755555556,0.244444444,0.111111111,NaN,0.166666667,0.088888889,0.844444444,0.333333333,0.566666667,NaN,NaN,NaN
SR-X,Fluvial,﻿#0072B2,Active,Present,#1A85FF,Pippin_2016,None,26.02,2,87,NaN,0.172413793,0.528735632,0.781609195,0.08045977,0.022988506,0.022988506,NaN,0.724137931,0.149425287,0.218390805,NaN,0.057471264,0.022988506,0.873563218,0.310344828,0.666666667,NaN,NaN,NaN